OrderID;OrderDate;CustomerName;CustomerEmail;Region;State;City;Product;SKU;Quantity;UnitPrice;UnitCost;Discount;Freight;PaymentMethod;SalesRep;OrderStatus;Notes;SourceFile
202401-11259;07-01-24;Marina Melo;marina.melo@mail.com;sul;SC;Florianópolis;Teclado;TCL-65889;4;R$ 3.128,31;1841.55;15;128.7;Transferência;Ana;Shipped;verificar endereço;orders_raw_2024_01.csv
202401-76025;26 Jan 2024;Marina Melo;marina.melo@mail.com;sul;RS;Caxias do Sul;IMPRESSORA;IMP-50772;13;R$ 3.581,18;2.171,62;15;R$ 170,64;Pix;Fernanda;Shipped;  urgente  ;orders_raw_2024_01.csv
202401-41283;14-01-24;PEDRO LIMA;pedro.lima@exemplo.com;sudeste;ES;Vitória;monitor;MON-42052;13;R$ 2.614,32;1598.19;0%;R$ 102,69;Débito;Eduardo;Canceled;;orders_raw_2024_01.csv
202401-49356;10/01/2024;CARLA SOUZA;carla.souza@mail.com;Região Sul;RS;Caxias do Sul;MOUSE;MSE-64972;15 un;248,14;140,19;0%;R$ 110,18;Transferência;Gabriel;Pending;;orders_raw_2024_01.csv
202401-37016;01-01-24;RAFAEL GOMES;rafael.gomes@mail.com;nordeste;MA;MA;mouse;MSE-92264;2;4.015,39;2696.74;10;125.59;Boleto;Bruno;Shipped;  urgente  ;orders_raw_2024_01.csv
202401-96154;12/01/2024; RAFAEL GOMES ;rafaelgomes;Centro Oeste;MS;Campo Grande; TECLADO ;TCL-64873;11;R$ 2.556,11;1661.4;15;R$ 30,55;Débito;Fernanda;Shipped;;orders_raw_2024_01.csv
202401-91415;24-01-24;PEDRO LIMA;pedrolima;norte;PA;Ananindeua;Monitor;MON-88272;11;R$ 2.629,26;R$ 1.666,68;15;R$ 9,35;Pix;Carlos;Shipped;cliente pediu NF-e;orders_raw_2024_01.csv
202401-18422;11-01-24;ALINE MORAES;aline.moraes@exemplo.com;nordeste;CE;Fortaleza;Headset;HDS-67738;1;R$ 226,30;131.43;0%;154.2;Pix;Ana;Shipped;cliente pediu NF-e;orders_raw_2024_01.csv
202401-68515;24 Jan 2024;ALINE MORAES;aline.moraes@mail.com;centro oeste;GO;Goiânia  ; mouse ;MSE-83135;1;R$ 4.855,16;;0;163,31;Pix;Ana;Shipped;cliente pediu NF-e;orders_raw_2024_01.csv
202401-49945;27 Jan 2024;Aline Moraes;aline.moraes@exemplo.com;CENTRO-OESTE;DF;Brasília;Headset;HDS-72821;8;R$ 4.578,00;3.210,33;15%;132.72;Pix;Daniela;Shipped;;orders_raw_2024_01.csv
202401-85147;25/01/2024;Marina Melo;marina.melo@exemplo.com;Norte;TO;Palmas;monitor;MON-81926;10;R$ 5.153,18;3817.49;10;122,18;Crédito;Helena;Pending;verificar endereço;orders_raw_2024_01.csv
202401-27283;17-01-24;MARIA ALVES;maria.alves@mail.com;Sud-este;RJ;Rio de Janeiro;Mouse;MSE-70845;10;899,32;758.57;0;51,57;Transferência;Helena;Shipped;  urgente  ;orders_raw_2024_01.csv
202401-82783;10 Jan 2024;Paula Dias;paula.dias@exemplo.com;sul;SC;Florianópolis;MONITOR;MON-19388;8;R$ 1.447,31;777.62;0;;Pix;Eduardo;Canceled;;orders_raw_2024_01.csv
202401-15087;13/01/2024;MARINA MELO;marina.melo@exemplo.com; NO ;AC;AC;impressora;IMP-51938;3;3.500,14;2.032,83;0;R$ 128,16;Boleto;Carlos;Shipped;  urgente  ;orders_raw_2024_01.csv
202401-16594;26/01/2024;CARLA SOUZA;carla.souza@exemplo.com;Região Sul;RS;Caxias do Sul; HEADSET ;HDS-60805;3;3.864,97;2.154,50;15;R$ 58,98;Boleto;Bruno;Pending;verificar endereço;orders_raw_2024_01.csv
202401-41377;2024-01-25;pedro lima;pedro.lima@empresa.com.br;Centro Oeste;MS;Campo Grande;Mouse;MSE-09515;1;R$ 1.634,30;;0;181.65;Transferência;Daniela;Shipped;verificar endereço;orders_raw_2024_01.csv
202401-22017;15/01/2024;Rafael Gomes;rafael.gomes@empresa.com.br; NORDESTE ;SE;SE;Smartphone;SPH-30902;13;R$ 2.812,54;2095.5;10;81.27;Crédito;Fernanda;Shipped;  urgente  ;orders_raw_2024_01.csv
202401-13802;26 Jan 2024;Carla Souza;carla.souza@mail.com;nordeste;PE;Recife;IMPRESSORA;IMP-07203;14;R$ 1.952,40;1268.71;0;10.32;Débito;Fernanda;Shipped;;orders_raw_2024_01.csv
202401-51465;15-01-24;rafael gomes;rafael.gomes@exemplo.com;nordeste;PE;Recife  ; Notebook ;NBK-72963;3;R$ 2.803,53;1830.99;0%;104.89;Transferência;Ana;Shipped;;orders_raw_2024_01.csv
202401-57218;2024-01-12; Lucas Rocha ;lucas.rocha@empresa.com.br;Sudeste;RJ;Niterói;Smartphone;SPH-62337;5;3.352,50;2098.41;10;137.75;Pix;Fernanda;Shipped;  urgente  ;orders_raw_2024_01.csv
202401-70408;23-01-24;Lucas Rocha;lucas.rocha@mail.com;Sudeste;SP;São Paulo;MOUSE;MSE-99905;15 un;R$ 787,36;R$ 474,59;0;147,19;Boleto;Daniela;Shipped;cliente pediu NF-e;orders_raw_2024_01.csv
202401-97834;23/01/2024;TIAGO CUNHA;tiago.cunha@mail.com;Sul;SC;Joinville;Monitor;MON-32453;4 un;R$ 697,44;R$ 517,75;10;R$ 196,75;Crédito;Bruno;Shipped;;orders_raw_2024_01.csv
202401-44939;22/01/2024;joão silva;joão.silva@exemplo.com;Centro-Oeste;MS;Campo Grande;Mouse;MSE-96111;5;R$ 1.360,62;;0;14.18;Crédito;Eduardo;Canceled;;orders_raw_2024_01.csv
202401-79382;12 Jan 2024;marina melo;marina.melo@mail.com;Nordeste;PI;PI  ;Impressora;IMP-23392;4;3.283,49;R$ 2.217,80;0;62,95;Crédito;Gabriel;Shipped;  urgente  ;orders_raw_2024_01.csv
202401-49794;2024-01-20;MARIA ALVES;maria.alves@exemplo; NO ;AM;Manaus;NOTEBOOK;NBK-71203;9;R$ 733,42;R$ 537,13;0;156,80;Crédito;Fernanda;Pending;  urgente  ;orders_raw_2024_01.csv
202401-72836;28 Jan 2024;CARLA SOUZA;carla.souza@empresa.com.br;Sudeste;MG;Uberlândia;Smartphone;SPH-01899;7;R$ 4.920,26;3311.5;0;120.53;Crédito;Gabriel;Canceled;;orders_raw_2024_01.csv
202401-27687;16 Jan 2024;Maria Alves;maria.alves@exemplo.com; SUDESTE;RJ;Niterói;Headset;HDS-11239;1;2.557,01;1723.59;0;127.28;Transferência;Fernanda;Pending;  urgente  ;orders_raw_2024_01.csv
202401-82617;14-01-24;joão silva;joão.silva@empresa.com.br;Região Sul;RS;Caxias do Sul;Impressora;IMP-60079;13;R$ 2.713,98;R$ 1.817,38;0;;Pix;Daniela;Shipped;;orders_raw_2024_01.csv
202401-21516;25 Jan 2024;aline moraes;aline.moraes@mail.com; NO ;AC;AC;Impressora;IMP-75710;7;R$ 458,89;358.5;5;95.38;Transferência;Fernanda;Pending;;orders_raw_2024_01.csv
202401-20869;18/01/2024;Rafael Gomes;rafael.gomes@mail.com;CENTRO-OESTE;MT;Cuiabá  ;teclado;TCL-00559;8;R$ 320,05;173.34;10;;Boleto;Carlos;Shipped;;orders_raw_2024_01.csv
